#Top: toplvl   Floorplan: elab_constrs_1   Part: xc6slx9tqg144-2
#Generated by: David Ayeke   on: Wed Mar 09 21:20:51 2016
#Build: PlanAhead v14.7   by: xbuild   on: Fri Sep 27 19:29:51 MDT 2013

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 1 unassigned signals in this design. The last 1 rows of this file list these signals.
################################################################################

IO Bank,BUFIO2 Region,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,Pull Type,IN_TERM,OUT_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
3,LT,P12,PAD185,IO_L49P_3,,,,,,g0,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LT,P11,PAD186,IO_L49N_3,,,,,,g1,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LT,P10,PAD187,IO_L50P_3,,,,,,g2,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P29,PAD160,IO_L36N_3,,,,,,b0,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P27,PAD161,IO_L37P_3,,,,,,b1,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P26,PAD162,IO_L37N_3,,,,,,b2,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
3,LB,P32,PAD148,IO_L2N_3,,,,,,led,OUT,,,LVCMOS33,12,SLOW,,,,FP_VTT_50,,
0,TL,P144,PAD1,IO_L1P_HSWAPEN_0,,,,,,,,,,,,,,,,,,
0,TL,P140,PAD5,IO_L3P_0,,,,,,,,,,,,,,,,,,
0,TL,P134,PAD21,IO_L34P_GCLK19_0,,,,,,,,,,,,,,,,,,
0,TL,P132,PAD23,IO_L35P_GCLK17_0,,,,,,,,,,,,,,,,,,
0,TL,P131,PAD24,IO_L35N_GCLK16_0,,,,,,,,,,,,,,,,,,
0,TR,P127,PAD25,IO_L36P_GCLK15_0,,,,,,,,,,,,,,,,,,
0,TR,P126,PAD26,IO_L36N_GCLK14_0,,,,,,,,,,,,,,,,,,
0,TR,P124,PAD27,IO_L37P_GCLK13_0,,,,,,,,,,,,,,,,,,
0,TR,P123,PAD28,IO_L37N_GCLK12_0,,,,,,,,,,,,,,,,,,
0,TR,P120,PAD36,IO_L62N_VREF_0,,,,,,,,,,,,,,,,,,
0,TR,P119,PAD37,IO_L63P_SCP7_0,,,,,,,,,,,,,,,,,,
0,TR,P115,PAD41,IO_L65P_SCP3_0,,,,,,,,,,,,,,,,,,
0,TR,P114,PAD42,IO_L65N_SCP2_0,,,,,,,,,,,,,,,,,,
0,TR,P111,PAD44,IO_L66N_SCP0_0,,,,,,,,,,,,,,,,,,
0,,P122,,VCCO_0,,,,,,,,,,,,,,,,,VCCO_0,3.30
0,,P125,,VCCO_0,,,,,,,,,,,,,,,,,VCCO_0,3.30
0,,P135,,VCCO_0,,,,,,,,,,,,,,,,,VCCO_0,3.30
1,RT,P105,PAD45,IO_L1P_1,,,,,,,,,,,,,,,,,,
1,RT,P104,PAD46,IO_L1N_VREF_1,,,,,,,,,,,,,,,,,,
1,RT,P100,PAD55,IO_L33P_1,,,,,,,,,,,,,,,,,,
1,RT,P99,PAD56,IO_L33N_1,,,,,,,,,,,,,,,,,,
1,RT,P95,PAD69,IO_L40P_GCLK11_1,,,,,,,,,,,,,,,,,,
1,RT,P94,PAD70,IO_L40N_GCLK10_1,,,,,,,,,,,,,,,,,,
1,RT,P93,PAD71,IO_L41P_GCLK9_IRDY1_1,,,,,,,,,,,,,,,,,,
1,RT,P92,PAD72,IO_L41N_GCLK8_1,,,,,,,,,,,,,,,,,,
1,RB,P88,PAD73,IO_L42P_GCLK7_1,,,,,,,,,,,,,,,,,,
1,RB,P87,PAD74,IO_L42N_GCLK6_TRDY1_1,,,,,,,,,,,,,,,,,,
1,RB,P85,PAD75,IO_L43P_GCLK5_1,,,,,,,,,,,,,,,,,,
1,RB,P84,PAD76,IO_L43N_GCLK4_1,,,,,,,,,,,,,,,,,,
1,RB,P82,PAD80,IO_L45N_1,,,,,,,,,,,,,,,,,,
1,RB,P80,PAD82,IO_L46N_1,,,,,,,,,,,,,,,,,,
1,RB,P75,PAD99,IO_L74P_AWAKE_1,,,,,,,,,,,,,,,,,,
1,RB,P74,PAD100,IO_L74N_DOUT_BUSY_1,,,,true,,,,,,,,,,,,,,
1,,P103,,VCCO_1,,,,,,,,,,,,,,,,,VCCO_1,3.30
1,,P76,,VCCO_1,,,,,,,,,,,,,,,,,VCCO_1,3.30
1,,P86,,VCCO_1,,,,,,,,,,,,,,,,,VCCO_1,3.30
2,BR,P70,PAD101,IO_L1P_CCLK_2,,,,true,,,,,,,,,,,,,,
2,BR,P69,PAD102,IO_L1N_M0_CMPMISO_2,,,,true,,,,,,,,,,,,,,
2,BR,P67,PAD103,IO_L2P_CMPCLK_2,,,,,,,,,,,,,,,,,,
2,BR,P66,PAD104,IO_L2N_CMPMOSI_2,,,,,,,,,,,,,,,,,,
2,BR,P65,PAD105,IO_L3P_D0_DIN_MISO_MISO1_2,,,,true,,,,,,,,,,,,,,
2,BR,P64,PAD106,IO_L3N_MOSI_CSI_B_MISO0_2,,,,true,,,,,,,,,,,,,,
2,BR,P62,PAD107,IO_L12P_D1_MISO2_2,,,,,,,,,,,,,,,,,,
2,BR,P61,PAD108,IO_L12N_D2_MISO3_2,,,,,,,,,,,,,,,,,,
2,BR,P60,PAD109,IO_L13P_M1_2,,,,true,,,,,,,,,,,,,,
2,BR,P59,PAD110,IO_L13N_D10_2,,,,,,,,,,,,,,,,,,
2,BR,P58,PAD111,IO_L14P_D11_2,,,,,,,,,,,,,,,,,,
2,BR,P57,PAD112,IO_L14N_D12_2,,,,,,,,,,,,,,,,,,
2,BR,P56,PAD119,IO_L30P_GCLK1_D13_2,,,,,,,,,,,,,,,,,,
2,BR,P55,PAD120,IO_L30N_GCLK0_USERCCLK_2,,,,,,,,,,,,,,,,,,
2,BL,P51,PAD121,IO_L31P_GCLK31_D14_2,,,,,,,,,,,,,,,,,,
2,BL,P50,PAD122,IO_L31N_GCLK30_D15_2,,,,,,,,,,,,,,,,,,
2,BL,P48,PAD133,IO_L48P_D7_2,,,,,,,,,,,,,,,,,,
2,BL,P47,PAD134,IO_L48N_RDWR_B_VREF_2,,,,,,,,,,,,,,,,,,
2,BL,P46,PAD135,IO_L49P_D3_2,,,,,,,,,,,,,,,,,,
2,BL,P45,PAD136,IO_L49N_D4_2,,,,,,,,,,,,,,,,,,
2,BL,P44,PAD137,IO_L62P_D5_2,,,,,,,,,,,,,,,,,,
2,BL,P43,PAD138,IO_L62N_D6_2,,,,,,,,,,,,,,,,,,
2,BL,P41,PAD141,IO_L64P_D8_2,,,,,,,,,,,,,,,,,,
2,BL,P40,PAD142,IO_L64N_D9_2,,,,,,,,,,,,,,,,,,
2,BL,P39,PAD143,IO_L65P_INIT_B_2,,,,true,,,,,,,,,,,,,,
2,BL,P38,PAD144,IO_L65N_CSO_B_2,,,,true,,,,,,,,,,,,,,
2,,P42,,VCCO_2,,,,,,,,,,,,,,,,,VCCO_2,
2,,P63,,VCCO_2,,,,,,,,,,,,,,,,,VCCO_2,
3,LB,P34,PAD146,IO_L1N_VREF_3,,,,,,,,,,,,,,,,,,
3,LB,P30,PAD159,IO_L36P_3,,,,,,,,,,,,,,,,,,
3,LB,P24,PAD169,IO_L41P_GCLK27_3,,,,,,,,,,,,,,,,,,
3,LB,P23,PAD170,IO_L41N_GCLK26_3,,,,,,,,,,,,,,,,,,
3,LB,P22,PAD171,IO_L42P_GCLK25_TRDY2_3,,,,,,,,,,,,,,,,,,
3,LB,P21,PAD172,IO_L42N_GCLK24_3,,,,,,,,,,,,,,,,,,
3,LT,P17,PAD173,IO_L43P_GCLK23_3,,,,,,,,,,,,,,,,,,
3,LT,P16,PAD174,IO_L43N_GCLK22_IRDY2_3,,,,,,,,,,,,,,,,,,
3,LT,P15,PAD175,IO_L44P_GCLK21_3,,,,,,,,,,,,,,,,,,
3,LT,P14,PAD176,IO_L44N_GCLK20_3,,,,,,,,,,,,,,,,,,
3,LT,P9,PAD188,IO_L50N_3,,,,,,,,,,,,,,,,,,
3,LT,P5,PAD192,IO_L52N_3,,,,,,,,,,,,,,,,,,
3,LT,P2,PAD199,IO_L83P_3,,,,,,,,,,,,,,,,,,
3,LT,P1,PAD200,IO_L83N_VREF_3,,,,,,,,,,,,,,,,,,
3,,P18,,VCCO_3,,,,,,,,,,,,,,,,,VCCO_3,3.30
3,,P31,,VCCO_3,,,,,,,,,,,,,,,,,VCCO_3,3.30
3,,P4,,VCCO_3,,,,,,,,,,,,,,,,,VCCO_3,3.30
,,P109,,TCK,,,,,,,,,,,,,,,,,,
,,P110,,TDI,,,,,,,,,,,,,,,,,,
,,P107,,TMS,,,,,,,,,,,,,,,,,,
,,P106,,TDO,,,,,,,,,,,,,,,,,,
,,P73,,SUSPEND,,,,,,,,,,,,,,,,,,
,,P72,,CMPCS_B_2,,,,,,,,,,,,,,,,,,
,,P71,,DONE_2,,,,,,,,,,,,,,,,,,
,,P37,,PROGRAM_B_2,,,,,,,,,,,,,,,,,,
,,P108,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P113,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P13,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P130,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P136,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P25,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P3,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P49,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P54,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P68,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P77,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P91,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P96,,GND,,,,,,,,,,,,,,,,,GND,GND
,,P129,,VCCAUX,,,,,,,,,,,,,,,,,VCCAUX,2.50
,,P20,,VCCAUX,,,,,,,,,,,,,,,,,VCCAUX,2.50
,,P36,,VCCAUX,,,,,,,,,,,,,,,,,VCCAUX,2.50
,,P53,,VCCAUX,,,,,,,,,,,,,,,,,VCCAUX,2.50
,,P90,,VCCAUX,,,,,,,,,,,,,,,,,VCCAUX,2.50
,,P128,,VCCINT,,,,,,,,,,,,,,,,,,
,,P19,,VCCINT,,,,,,,,,,,,,,,,,,
,,P28,,VCCINT,,,,,,,,,,,,,,,,,,
,,P52,,VCCINT,,,,,,,,,,,,,,,,,,
,,P89,,VCCINT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,v_clk,IN,,,LVCMOS25,12,SLOW,,,,,,
